Index	Bogennummer	REDE_Namen	Sprache	tu	hinein	etwas	kohle	in1	den	ofen	dass	wird	die	milch	bald	zu	kochen	anfangen
ab	11673	Mitwitz	1	Thu - - - - - - - - - - -	- nei - -	- - - - - - - - - -	Kuhln - - - - - - -	n - -	-	Ufen - - - - - -	daß - -	- - - - - -	die	Milch -	bald - - - - - - - -	ze -	kochn - -	afingt - -
ab	11763	Aub	1	Thua - - - - - - - - - - -	- nei - -	- - - - - - - - - -	Kuln - - - - - - -	n - -	-	Afn - - - - - -	äß - -	- - - - - -	die	Milch -	bal - - - - - - - -	zu -	kochn - -	ofengt - -
ab	1178	Sokoliniec	1	Dug - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kola - - - - - - -	in - -	na	Owa - - - - - -	dat - -	- - - - - -	de	Melk -	bahl - - - - - - - -	to -	koaken - -	afingt - -
ab	11805	Seidmannsdorf	1	Thu - - - - - - - - - - -	- nei - -	- - - - - - - - - -	Kuhl'n - - - - - - -	n - -	-	Uafn - - - - - -	es - -	- - - - - -	die	Millich -	bal - - - - - - - -	zä -	kochen - -	afengt - -
ab	11825	Wallenfels	1	Tu - - - - - - - - - - -	- inei - -	- - - - - - - - - -	Kuohln - - - - - - -	n - -	-	Uofen - - - - - -	des - -	- - - - - -	die	Mili -	bal - - - - - - - -	ſa -	kuchn - -	anfingt - -
ab	11844	Neudorf	1	Thu - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kulln - - - - - - -	in - -	-	Ufen - - - - - -	daß - -	- - - - - -	die	Milich -	ball - - - - - - - -	za -	kochn - -	ofängt - -
ab	11864	Draisendorf	1	Thu - - - - - - - - - - -	- nei - -	- - - - - - - - - -	Kulln - - - - - - -	n - -	-	Of'n - - - - - -	daß - -	- - - - - -	die	Milch -	ball - - - - - - - -	zä -	kich'n - -	onfängt - -
ab	11881	Sohl	1	Dou - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kulln - - - - - - -	in - -	´n	uofn - - - - - -	darz - -	- - - - - -	di	milch -	bal - - - - - - - -	zu -	koch'n - -	nafängt - -
ab	11896	Sülzdorf	1	Thu - - - - - - - - - - -	- nai - -	- - - - - - - - - -	Kohln - - - - - - -	n - -	-	Ofe - - - - - -	dos - -	- - - - - -	die	Melich -	ball - - - - - - - -	ze -	kochn - -	ofängt - -
ab	1192	Debsko	1	Do - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kole - - - - - - -	i - -	de	Auwe - - - - - -	dat - -	- - - - - -	de	Melk -	ball - - - - - - - -	't -	koken - -	anfengt - -
ab	11927	Bachfeld	1	Thu - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kuhl'n - - - - - - -	in - -	da'n	Ufen - - - - - -	döß - -	- - - - - -	die	Milich -	bal' - - - - - - - -	zu -	kochen - -	afängt - -
ab	1197	Plociczno	1	Duch - - - - - - - - - - -	- - - -	- - - - - - - - - -	Koala - - - - - - -	in - -	na	Oava - - - - - -	dat - -	- - - - - -	d?	Melk -	ball - - - - - - - -	to -	koaka - -	'afaingt - -
ab	1203	Nakielno	1	Ducht - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kauala - - - - - - -	in - -	de	Auwa - - - - - -	dat - -	- - - - - -	-	Melk -	- - - - - - - - -	to -	koka - -	afängt - -
