Index	Bogennummer	REDE_Namen	Sprache	tu	leg	mach	schmeiß	schütt	stopp	steck	gooi	wirf	krieg	holz	gib	Kohle	Scheid	Holz	Grüß	Feuer	Glut	Brand	Torf	in	op	bei	den	Ofen	Kachel	Herd	Stoof	Küche	Feuer2	Kachelofen	dass	dann	damit	tut	wird	soll	kann	beginnt	geht	die	Milch	Rahm	bald	gleich	geschwind	gauw	schnell	rasch	enta	hortig	vlug	zu	mit	kochen	sieden	wellen	anfangen	anheben	ankommen
ab	11230	Burkersdorf	1	th u -	-	-	-	-	-	-	-	-	-	-	-	k uh - l e n	-	-	-	-	-	-	-	i n	-	-	-	- u - f e n -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d ie	m i - l - ch -	-	b a ll - e -	-	-	-	-	-	-	-	-	z u	-	k u - ch e n -	-	-	oh n - f ä ng - t -	-	-
ab	11252	Seelingstädt	1	th u -	-	-	-	-	-	-	-	-	-	-	-	k uh - l - n	-	-	-	-	-	-	-	i n	-	-	d e n	- u - f e n -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d ie	m i - l - ch -	-	- - - - - -	-	-	-	-	-	-	-	-	z ä	-	k u - ch e n -	-	-	a - - f ä ng - t -	-	-
ab	11262	Seebach	1	th u -	-	-	-	-	-	-	-	-	-	-	-	k oh - l - n	-	-	-	-	-	-	-	i n	-	-	-	- u - b e n -	-	-	-	-	-	-	d a s	-	-	-	-	-	-	-	-	d	m i - l i ch -	-	b a ll - - -	-	-	-	-	-	-	-	-	z	-	k o - ch e n -	-	-	ah n - f a ng - t -	-	-
ab	1133	Debenke	1	d äu -	-	-	-	-	-	-	-	-	-	-	-	k au - l ä -	-	-	-	-	-	-	-	i d	-	-	d ä	- au - w ä - -	-	-	-	-	-	-	d a t	-	-	-	-	-	-	-	-	d ei	m e - l - kʃch -	-	b a ll - - -	-	-	-	-	-	-	-	-	t	-	k au - k e n -	-	-	a - - f a ng - t -	-	-
ab	1139	Gliszcz	1	d au -	-	-	-	-	-	-	-	-	-	-	-	k au - l e -	-	-	-	-	-	-	-	y	-	-	d ä	- au - w e - -	-	-	-	-	-	-	d a t	-	-	-	-	-	-	-	-	d ei	m ä - l - k -	-	b u ll - - -	-	-	-	-	-	-	-	-	t	-	k au - k e n -	-	-	a - - f y ng - t -	-	-
ab	11467	Boilstädt	1	th u -	-	-	-	-	-	-	-	-	-	-	-	k o - ll - n	-	-	-	-	-	-	-	i n	-	-	d ä n	- u - w e n -	-	-	-	-	-	-	d ä s	-	-	-	-	-	-	-	-	d e	m ä - l - ch -	-	b äh l - - -	-	-	-	-	-	-	-	-	z e	-	k o - ch e n -	-	-	ah n - f ä ng - t -	-	-
ab	11485	Ingersleben	1	d u -	-	-	-	-	-	-	-	-	-	-	-	k o - ll - n	-	-	-	-	-	-	-	i n	-	-	d n	- uo - b e n -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d e	m ä - l - ch -	-	b a l - - -	-	-	-	-	-	-	-	-	z e	-	k o - ch e n -	-	-	ua n - f a ng - d -	-	-
ab	1150	Czarze	1	d o -	-	-	-	-	-	-	-	-	-	-	-	k o - l e -	-	-	-	-	-	-	-	e n	-	-	d e	- o - w e - -	-	-	-	-	-	-	d a t	-	-	-	-	-	-	-	-	d e	m e - l - k -	-	b a l - - -	-	-	-	-	-	-	-	-	t o	-	k o - k e - -	-	-	a n - f a ng - t -	-	-
ab	11515	Gutendorf	1	t u ck	-	-	-	-	-	-	-	-	-	-	-	k o - ll - n	-	-	-	-	-	-	-	i n	-	-	-	- u - f e n -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d e	m e - l - ch -	-	b ah l - e -	-	-	-	-	-	-	-	-	-	-	k o - ch - t -	-	-	- - - - - - - - -	-	-
ab	11539	Kleinschwabhausen	1	d u ck	-	-	-	-	-	-	-	-	-	-	-	k o - ll e n	-	-	-	-	-	-	-	i n	-	-	n	- u - f e n -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d e	m ä - - - ch -	-	b a l d - -	-	-	-	-	-	-	-	-	s e	-	k o - ch e n -	-	-	a n - f ä ng - t -	-	-
ab	11568	Thalbürgel	1	th u -	-	-	-	-	-	-	-	-	-	-	-	k o - ll e n	-	-	-	-	-	-	-	i n	-	-	d e n	- u - f e n -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d ie	m e - l - ch -	-	b a ll - e -	-	-	-	-	-	-	-	-	z u	-	k o - ch e n -	-	-	a n - f a ng - t -	-	-
ab	1157	Bielczyny	1	th u -	-	-	-	-	-	-	-	-	-	-	-	k oh - l a -	-	-	-	-	-	-	-	i n	-	-	-	- o - f a - -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d	m i - l - ch -	-	b a l - - -	-	-	-	-	-	-	-	-	z	-	k o - ch e t -	-	-	a - - f a ng - t -	-	-
ab	11586	Bad Köstritz	1	th u -	-	-	-	-	-	-	-	-	-	-	-	k u - ll - n	-	-	-	-	-	-	-	i n	-	-	-	- u - f e n -	-	-	-	-	-	-	d o ß	-	-	-	-	-	-	-	-	d e	m i - l - ch -	-	b a ll - e -	-	-	-	-	-	-	-	-	z u	-	k u - ch e n -	-	-	o n - f a ng - t -	-	-
ab	11607	Lumpzig	1	th u -	-	-	-	-	-	-	-	-	-	-	-	k u - ll e n	-	-	-	-	-	-	-	i n	-	-	-	- u - f e n -	-	-	-	-	-	-	d o ß	-	-	-	-	-	-	-	-	d e	m i - l - ch -	-	b a ll - - -	-	-	-	-	-	-	-	-	z u	-	k u - ch e n -	-	-	o n - f a ng - t -	-	-
ab	1162	Sierakowo	1	- - -	l ä gg	-	-	-	-	-	-	-	-	-	-	k oah - l e -	-	-	-	-	-	-	-	ö n	-	-	n e	- oa - w e - -	-	-	-	-	-	-	d a t	-	-	-	-	-	-	-	-	d ei	m e - l - k -	-	b o ll - - -	-	-	-	-	-	-	-	-	t e	-	k oa - k e n -	-	-	a n - f e ng - t -	-	-
ab	11645	Gleismuthhausen	1	th u -	-	-	-	-	-	-	-	-	-	-	-	k oh - l - n	-	-	-	-	-	-	-	n	-	-	-	- ua - f - n -	-	-	-	-	-	-	ä s	-	-	-	-	-	-	-	-	d ie	m i - l i ch -	-	b a l - - -	-	-	-	-	-	-	-	-	z ä	-	k o - ch e - -	-	-	a - - f e ng - t -	-	-
ab	11673	Mitwitz	1	th u -	-	-	-	-	-	-	-	-	-	-	-	k uh - l - n	-	-	-	-	-	-	-	n	-	-	-	- u - f e n -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d ie	m i - l - ch -	-	b a l d - -	-	-	-	-	-	-	-	-	z e	-	k o - ch - n -	-	-	a - - f i ng - t -	-	-
ab	11763	Aub	1	th ua -	-	-	-	-	-	-	-	-	-	-	-	k u - l - n	-	-	-	-	-	-	-	n	-	-	-	- a - f - n -	-	-	-	-	-	-	ä ß	-	-	-	-	-	-	-	-	d ie	m i - l - ch -	-	b a l - - -	-	-	-	-	-	-	-	-	z u	-	k o - ch - n -	-	-	o - - f e ng - t -	-	-
