Ort::REDE_GIDs	Ort::Longitude	Ort::Latitude	Bogennummer	Ort::Name	Ort::Sprache	Transliteration WS34
389581	17,51417	50,74342	14074	MICHALOW	1	- Dos - Wuhrt - koam’ - - - vom Harzen. - -
392718	17,78334	50,70421	14092	KARCZOW	1	- Dos - Wurt - kom ihm - - vum Harzen. - -
386194	17,2612	50,75422	14159	JUTRZYNA	1	- Dos - Wurt - kom ihm - - vum Harzen. - -
375806	15,82664	53,61641	1417	RYDZEWO	1	- Datt - Woĕt - kamm ĕm - - vŏ Hātĕ. - -
391860	17,00388	50,90846	14234	BRZOZA	1	- Doas - Wort - koam ihm - - vom Harzen! - -
388449	17,27996	50,91595	14250	JACZKOWICE	1	- Dos - Wot - kom ihm - - vo Hatzen. - -
369484	17,51786	50,89571	14275	PIASTOWICE	1	- Dos - Wurt - kom im - - vo Harzen. - -
392235	16,5052	50,92217	14305	BOZANOW	1	- Dos - Wort - kohm ihm - - vu Herza - -
151328	16,09713	53,5926	1432	RZEPOWO	1	- Dat - Woet - kem em - - vom Hata! - -
385748	16,75854	50,92697	14321	ROGOW SOBOCKI	1	- Dos - Woort - koam ihm - - fum Herze! - -
541497	16,69625742	50,24949279	14382	WￃﾖLFELSDORF (WILKANￃﾓW)	1	- Dos - Wort - kom ehm - - vom Hatze. - -
372645	16,3881	53,58605	1442	LUBOWO	1	- Dat - Woet - kăm em - - vom Harte! - -
540642	18,02571486	50,04538313	14449	THRￃﾖM (TREBOM)	1	- Dos - Wourt - koem ehm - - vom Harrzn. - -
391058	16,43333	50,40879	14458	SZCZYTNA	1	- Dos - Wort - kom m - - vom Herze! - -
388518	16,73068	50,40811	14471	JASZKOWA GORNA	1	- Dos - Wort - kom’ m - - vom Hazze - -
387458	17,26018	50,38899	14486	NADZIEJOW	1	- Dos - Wurt - kom ihm - - vom Hazze! - -
373286	15,86239	53,77752	145	SMARDZKO	1	- Dat - Woet - kam em - - ut’m Haate - -
365314	17,51572	50,40154	14505	PIORUNKOWICE	1	- Dos - Wurt - kuam’ m - - vo Herza! - -
541580	16,64922303	53,57923598	1451	STEINFORTH (BRODￅﾹCE)	1	- Datt - Wöut - kamm emm - - voa Hatä - -
366235	17,00516	50,27139	14537	BIELICE	1	- Dos - Wort - kom ehm nie - van Harze! - -
528282	19,02622	50,30465	14560	SIEMIANOWICE SLASKIE	1	- Dos - Wŏrt - kom em - - v[u?]m Harzen. - -
146871	16,90083	53,59936	1461	WEGORZEWO SZCZECINECKIE	1	- Dat - Woät - kam em - - vom Hatä - -
97519	7,1428	49,58714	14613	NOHFELDEN	1	- Dat - Wort - kam ihm - - va[n?] Herze - -
534301	7,436449875	49,61119749	14635	ERZWEILER	1	- D’s - Wort - kam em - - vun Herze - -
99617	7,69526	49,62895	14670	NUSSBACH	1	- Das - Wort - éss èm - - vum Herz kumm! -
