Index	Bogennummer	REDE_Namen	Sprache	IM	DES	-	WINTER	FLIEGEN	DIE	TROCKENEN	BLATTER	LAAB	DURCH	IN	LUFT	HERUM	UMEINANDER	RUND	UMBEI	__parsed_extra
ab	11881	Sohl	1	I m	-	-	w i n t - r - -	f l eï ng - - - - - - - -	d i	t r u c k n e	b l ä t r	-	d u r c h	-	l u f t	- - - - - r i m - - - - -	- - - - - - - - - - - -	-	-	-
ab	11896	Sülzdorf	1	n '	-	-	W e n t e r - -	f l ie g e - - - - - - -	d i e	t r o c k e n e	B l ē t e r	-	-	ĕ n	L u f t	- - - - - r ö m - - - - -	- - - - - - - - - - - -	-	-	-
ab	1192	Debsko	1	I m	-	-	W i n t e - - -	f l e g e - - - - - - -	d e	d r ö j e	B l e i d e	-	d ö c h	-	L u f t	- - - - - r ü mm e - - - -	- - - - - - - - - - - -	-	-	-
ab	11927	Bachfeld	1	I m	-	-	W i n t e r - -	f l ie g e n - - - - - -	d i e	t r o c k e n e n	B l ä t t e r	-	d o r c h	-	L o f t	- - - h e r ü m - - - - -	- - - - - - - - - - - -	-	-	-
ab	1197	Plociczno	1	I m	-	-	W i n t e - - -	f l e g a - - - - - - -	d e	d r ö g e	B l ä i d e	-	d ö r c h	-	L u f t	- - - - - r ü m - - - - -	- - - - - - - - - - - -	-	-	-
ab	1203	Nakielno	1	J m	-	-	W i n t a - - -	f l e j a - - - - - - -	d e	d r ö j a	B l e i d e	-	d ö g	-	L u f t	- - - h e r ü m e - - - -	- - - - - - - - - - - -	-	-	-
ab	12037	Hildburghausen	1	I m	-	-	W i n t - r - -	f l ie h - n - - - - - -	d r	t r o c k e n e	B l e t t e r	-	-	i n	L u f t	- - - - - r ü m̄ - - - - -	- - - - - - - - - - - -	-	-	-
ab	12070	Neuenbau	1	I m	-	-	W i n t e r - -	f l ie g e n - - - - - -	d i e	t r u c k n e	B l e t t e r	-	d u r c h	-	L u f t	ü m - h a r - - - - - - -	- - - - - - - - - - - -	-	-	-
ab	1208	Wissulke (Wiesiółka)	1	I m	-	-	W i n t e - - -	f l e g ä - - - - - - -	' t	d r ö g ä	B l e i d e	-	d o i c h	-	L u f t	- - - - - r ü mm e - - - -	- - - - - - - - - - - -	-	-	-
ab	12085	Grumbach	1	I n	-	-	W i n t e r - -	f l ie g e n - - - - - -	d å	t r u c k n å	B l e t t e r	-	d o r c h	-	L u f t	- - - - - r i mm - - - - -	- - - - - - - - - - - -	-	-	-
