Index	Bogennummer	REDE_Namen	Sprache	WS1::TransliterationWS1
cd	16636	Liebshausen (Libčeves)	1	Jm Winter fliegn de dreichen Blätter in dr Luft rim.
cd	1664	Labagienen/Haffwinkel (Zalivino)	1	Em Winta flëge de dröge Bläda dorch de Loft herem.
cd	16670	Priesen (Březno)	1	Im Wintr fliegĕ de dĕrrn Blättr in de Luft remm.
cd	16689	Libeschitz (Liběšice)	1	Jn Wintar fliegẽ de truckene Blättar in de Luft rĭm.
cd	16725	Leschkau (Ležky)	1	In Winda fleïg̃n dei drugana Bleï[l?]la in da Luft rim.
cd	16739	Pschoblik (Pšovlky)	1	In Winta flieng die truckana Blēla in de(r) Luft rim.
cd	16751	Prag-Smichow (Smíchov)	1	Im Winter fliegn die trockenen Blättr in dr Luft herum.
cd	16755	Weißbach (Bílý Potok)	1	Eim Wenter fliega die treiga Bleter ei‿dr Loft remm.
cd	16770	Schediwy (Šediviny)	1	M Wenter fliecha die troicha Bleetr ei dr Loft rem.
cd	16775	Friedrichswald (Orlické Záhoří)	1	M Wentr fliecha die treucha Blētr ei dr Loft rem.
cd	16801	Böhmischdorf	1	Ein Wentr fliegn de treign Bletr ei dr Loft rem.
cd	16814	Rokitnitz (Rokytnice)	1	M Wenter fliecha die treucha Bleter ei dr Lofft remm.
cd	1683	Kreuzingen (Bol'Shakovo)	1	Em Winter flege de drege Blaeder dorch de Loft rom.
cd	16876	Nieder-Ullersdorf (Dolní Boříkovice	1	Eim Wintr flieha die troiha Bläter ei‿d'r Loft rem.
cd	16889	Heinzendorf (Hynčice Nad Moravou)	1	Ein Wenter fliechn da treichn Bleter ei dar Loft rem.
cd	16907	Karlsdorf	1	aên wintⱱ dô vlî(g)ŋ dә traê(g)ŋ bleêtⱱ aê dⱱ loft rim.
cd	16932	Kuhberg	1	Ein Wenter fliega die treiga Bleter ei dr Luft remm.
cd	16949	Rausen (Rusín)	1	Ein Wenter fliega die treiga Bläter ei der Loft rem.
cd	1698	Buttkuhnen (Pokrovskoe)	1	Em Winter flege de drege Bläder dorche Loft herom.
cd	16991	Breitenau (Bretnová Široká Niva)	1	Ein Wenter fliegn die treign Bleter ei dr Loft rem.
cd	17012	Lobenstein (Úvalno)	1	Ein Wenter fliegn die treign Bleter ei dr Loft rem.
cd	17029	Lohhäuser (Slatina)	1	In Winta flåign döi truckna Blala in da Luft im
cd	17061	Deutsch Thomaschlag (Německé Domasl	1	Schaut no, wöi in Winta döi Bla(d)la in da Luft ümflöign.
cd	17075	Polinken (Polínka)	1	Im Winta fleign d'truckana Blala in da Luft im.
cd	1708	Baltruschatschen (Jakovlevo)	1	Oem Winter flöge de druckene Bläder dorche Lofft herom.
cd	17138	Albersdorf (Písařova Vesce)	1	In Winta flöign d truckna Blatla in da Luft üm.
cd	17151	Damnau	1	In Winta flöign döi truckna Blala i da Luft im.
cd	17174	Piwana (Piňovany)	1	In Winta flöign dürra Blåla in da Luft um.
cd	17178	Kottiken (Chotíkov)	1	Im Winta flöïgn trukana Bladla in da Luft um.
cd	17244	Dianaberg (Diana)	1	In Wintә flöig'n dé trucknә Blālә in dә Luft um.
cd	17266	Wiedlitz (Vidice)	1	In Winta flöign de truckna Bl[al?]a i da Luft um.
cd	17273	Honositz (Honezovice)	1	In Wintao flejgŋn truckaonao Bladlao i dao Luft um.
cd	17281	Dobrzan (Dobřany)	1	Jm Winta flöign döi truckna Bladla in da Luft um.
cd	17306	Blisowa (Blížejov)	1	In Winta flejgn de truckenen Blala in da Luft um.
cd	17309	Hilbeten	1	Jm Wintr fliegn d trockana Bleta (Lab) in d Luft rim.
cd	17325	Schönwald (Strážná)	1	Eim Wenter fliecha die troicha Bläter ei dr Loft rem.
cd	1733	Rottenen (Raktino)	1	Emm Winter flege de drege Bläder dorch de Loft rommer.
cd	17374	Ober-Ullischen (Horní Olešná)	1	Eim Winter fliegn die treig͜n Blejtr ei dr Luft rim.
cd	17389	Bergstadt (Horní Město)	1	Ein Winter fliegn die treign Bleter ei d(e)r Loft rimm.
cd	1741	Pojerstieten (Kolodcy)	1	Jm Winta flöge de drege Bläda dorche Loft rem.
cd	17433	Ranigsdorf (Linhartice)	1	In Winte fleign d trucken Bleter i d. Lauft rimm.
cd	17442	Müglitz (Mohelnice)	1	In Winter fliegn die truckenen Blētĕr in der Luft zukūr.
cd	17460	Ribnik (Rybniček)	1	Ein Winter fliegen die treigen Bläter ei dr Loft rim.
cd	17468	Stangendorf (Vendolí)	1	In Wintr fläign d(e) trucken Bläter i dr Lôuft rim.
cd	1747	Beydritten (Pervomajskij)	1	Em Winta flögn de dröge Bläda en ne Lofft herem.
cd	17504	Neu-Biela (Lavičné)	1	Im Wintr floign d trucken Bläter i d. Liuft rim.
cd	17512	Schlettau (Slatina)	1	Im Binter fleign d truckm Bleetr i d Lauft rim.
cd	17520	Runarz	1	En Bintә fliegŋ dә traigŋ Blētә ręm͜ ei dә Lo̜ft.
cd	17521	Nebotein (Hnĕvotín)	1	An Bint(er) fli(a)gn die truck(er)n Plejt(er) (a)d(er) Luft 'rum.
cd	17568	Tillendorf (Tylov)	1	Ein Winter fliegn die treign Bleter ei derr Loft rim.
cd	1758	Brasdorf (Antonovka)	1	öm Wintă flöge (fleege) dĕ dreege Blädă dorch 'e Lŏft römm.
cd	17585	Mladetzko (Mladecko)	1	Eim Wentr fliegn die treign Bleetr ei dr Loft rem.
cd	17643	Seibersdorf (Bělá)	1	Ein Winter fliegn die traige Bleiter ei där Loft rim.
cd	17659	Bernhau (Barnov)	1	Ein Winter flieg'n die treig'n Bleter ei d'r Loft rim.
cd	17680	Klantendorf	1	Am Wientr fliejn die traije Bletr ai dr Loft rejm.
cd	17687	Engelswald (Mošnov)	1	Om Wenter fliejen die traije Bletêr ei dr Loft rem.
cd	17698	Nirklowitz (Mrsklesy)	1	d treign Bleiter fliegn ei der Loft rim.
cd	17713	Punkendorf (Boňkov)	1	Ein Winte fliegn die treign Bleter eide Loft rim
cd	1772	Groß Goldbach (Slavinsk)	1	Oem Winta flege de drege Bläder dorch de Loft röm.
cd	17726	Halbendorf (Polouvsí)	1	Am Wenter fliegen die treige Bleter ei dr Loft rem
cd	17737	Senftleben (Ženklava)	1	Om Wenter fliege d durre Bleter ei dr Loft rem.
cd	-17739	Polanka Wielka	1	Im Winter flien die trucknen Blätter in der Luft rum.
cd	-17744	Bulowice	1	In Winter fliegen die truckene Blätter in der Luft rum.
cd	-17746	Chocznia	1	In Winter fluingen de trucken Bläckern in der Luft umätum.
cd	-17749	Alt-Bielitz (Stare Bielesko)	1	Em Winter fliega die trojga Bleter e der Loft rem.
cd	17759	Linz (Mlýnec)	1	An Winta flöign de truckan Blala i da Luft umadum.
cd	17782	Kohlheim (Uhliště)	1	In Winta fluign de truckrn Blatla in da Luft umanont.
cd	17792	Čachrau (Čachrov)	1	In Winta fluign de trukan Bläka in da Luft um.
cd	17801	Hurkental (Hůrka)	1	In Winta fluign dtrukän Blatla in da Luft umanand.
cd	17824	Rotsaifen (Červená)	1	In Winta fluign de trukan Blaln in da Luft umanond.
cd	17832	Winterberg (Vimberk)	1	In Wintå fluingt d truckån Bladln in då Luft umananund.
