Grapheme	Frequency	IPA	Codepoint	UnicodeName
oä	3	oa	U+006F, U+00E4	LATIN SMALL LETTER O, LATIN SMALL LETTER A WITH DIAERESIS
öa	1	oa	U+00F6, U+0061	LATIN SMALL LETTER O WITH DIAERESIS, LATIN SMALL LETTER A
öä	5	oa	U+00F6, U+00E4	LATIN SMALL LETTER O WITH DIAERESIS, LATIN SMALL LETTER A WITH DIAERESIS
oah	12	oa	U+006F, U+0061, U+0068	LATIN SMALL LETTER O, LATIN SMALL LETTER A, LATIN SMALL LETTER H
öah	3	oa	U+00F6, U+0061, U+0068	LATIN SMALL LETTER O WITH DIAERESIS, LATIN SMALL LETTER A, LATIN SMALL LETTER H
öäh	7	oa	U+00F6, U+00E4, U+0068	LATIN SMALL LETTER O WITH DIAERESIS, LATIN SMALL LETTER A WITH DIAERESIS, LATIN SMALL LETTER H
oai	3	ai	U+006F, U+0061, U+0069	LATIN SMALL LETTER O, LATIN SMALL LETTER A, LATIN SMALL LETTER I
oau	3	au	U+006F, U+0061, U+0075	LATIN SMALL LETTER O, LATIN SMALL LETTER A, LATIN SMALL LETTER U
öau	1	au	U+00F6, U+0061, U+0075	LATIN SMALL LETTER O WITH DIAERESIS, LATIN SMALL LETTER A, LATIN SMALL LETTER U
oe	47	oi	U+006F, U+0065	LATIN SMALL LETTER O, LATIN SMALL LETTER E
öe	10	ø	U+00F6, U+0065	LATIN SMALL LETTER O WITH DIAERESIS, LATIN SMALL LETTER E
oeh	1	oi	U+006F, U+0065, U+0068	LATIN SMALL LETTER O, LATIN SMALL LETTER E, LATIN SMALL LETTER H
öeh	1	ø	U+00F6, U+0065, U+0068	LATIN SMALL LETTER O WITH DIAERESIS, LATIN SMALL LETTER E, LATIN SMALL LETTER H
oə	2	oi	U+006F, U+0259	LATIN SMALL LETTER O, LATIN SMALL LETTER SCHWA
oh	157	o	U+006F, U+0068	LATIN SMALL LETTER O, LATIN SMALL LETTER H
öh	119	ø	U+00F6, U+0068	LATIN SMALL LETTER O WITH DIAERESIS, LATIN SMALL LETTER H
ohe	1	oi	U+006F, U+0068, U+0065	LATIN SMALL LETTER O, LATIN SMALL LETTER H, LATIN SMALL LETTER E
oi	106	oi	U+006F, U+0069	LATIN SMALL LETTER O, LATIN SMALL LETTER I
oï	3	oi	U+006F, U+00EF	LATIN SMALL LETTER O, LATIN SMALL LETTER I WITH DIAERESIS
öi	22	ø	U+00F6, U+0069	LATIN SMALL LETTER O WITH DIAERESIS, LATIN SMALL LETTER I
öï	1	ø	U+00F6, U+00EF	LATIN SMALL LETTER O WITH DIAERESIS, LATIN SMALL LETTER I WITH DIAERESIS
oih	1	oi	U+006F, U+0069, U+0068	LATIN SMALL LETTER O, LATIN SMALL LETTER I, LATIN SMALL LETTER H
oj	3	oi	U+006F, U+006A	LATIN SMALL LETTER O, LATIN SMALL LETTER J
on	1	o	U+006F, U+006E	LATIN SMALL LETTER O, LATIN SMALL LETTER N
oo	107	o	U+006F, U+006F	LATIN SMALL LETTER O, LATIN SMALL LETTER O
öo	2	ø	U+00F6, U+006F	LATIN SMALL LETTER O WITH DIAERESIS, LATIN SMALL LETTER O
öö	5	ø	U+00F6, U+00F6	LATIN SMALL LETTER O WITH DIAERESIS, LATIN SMALL LETTER O WITH DIAERESIS
ooh	1	o	U+006F, U+006F, U+0068	LATIN SMALL LETTER O, LATIN SMALL LETTER O, LATIN SMALL LETTER H
or	3	oa	U+006F, U+0072	LATIN SMALL LETTER O, LATIN SMALL LETTER R
ou	224	ou	U+006F, U+0075	LATIN SMALL LETTER O, LATIN SMALL LETTER U
oü	1	ou	U+006F, U+00FC	LATIN SMALL LETTER O, LATIN SMALL LETTER U WITH DIAERESIS
o̊u	2	ou	U+006F, U+030A, U+0075	LATIN SMALL LETTER O, COMBINING RING ABOVE, LATIN SMALL LETTER U
öu	13	ø	U+00F6, U+0075	LATIN SMALL LETTER O WITH DIAERESIS, LATIN SMALL LETTER U
öü	5	ø	U+00F6, U+00FC	LATIN SMALL LETTER O WITH DIAERESIS, LATIN SMALL LETTER U WITH DIAERESIS
ouh	3	ou	U+006F, U+0075, U+0068	LATIN SMALL LETTER O, LATIN SMALL LETTER U, LATIN SMALL LETTER H
oy	1	oi	U+006F, U+0079	LATIN SMALL LETTER O, LATIN SMALL LETTER Y
p	78	p	U+0070	LATIN SMALL LETTER P
pb	1	p	U+0070, U+0062	LATIN SMALL LETTER P, LATIN SMALL LETTER B
pp	4	p	U+0070, U+0070	LATIN SMALL LETTER P, LATIN SMALL LETTER P
q	1	-	U+0071	LATIN SMALL LETTER Q
r	8740	r	U+0072	LATIN SMALL LETTER R
rd	8	r	U+0072, U+0064	LATIN SMALL LETTER R, LATIN SMALL LETTER D
rg	3	r	U+0072, U+0067	LATIN SMALL LETTER R, LATIN SMALL LETTER G
rn	1	r	U+0072, U+006E	LATIN SMALL LETTER R, LATIN SMALL LETTER N
rr	59	r	U+0072, U+0072	LATIN SMALL LETTER R, LATIN SMALL LETTER R
rsch	3	r	U+0072, U+0073, U+0063, U+0068	LATIN SMALL LETTER R, LATIN SMALL LETTER S, LATIN SMALL LETTER C, LATIN SMALL LETTER H
s	10513	s	U+0073	LATIN SMALL LETTER S
sch	75	ʃ	U+0073, U+0063, U+0068	LATIN SMALL LETTER S, LATIN SMALL LETTER C, LATIN SMALL LETTER H
scht	1	ʃ	U+0073, U+0063, U+0068, U+0074	LATIN SMALL LETTER S, LATIN SMALL LETTER C, LATIN SMALL LETTER H, LATIN SMALL LETTER T
sh	11	ʃ	U+0073, U+0068	LATIN SMALL LETTER S, LATIN SMALL LETTER H
ss	19	s	U+0073, U+0073	LATIN SMALL LETTER S, LATIN SMALL LETTER S
sz	4	s	U+0073, U+007A	LATIN SMALL LETTER S, LATIN SMALL LETTER Z
ʃ	20	ʃ	U+0283	LATIN SMALL LETTER ESH
ʃs	1	ʃ	U+0283, U+0073	LATIN SMALL LETTER ESH, LATIN SMALL LETTER S
t	8243	t	U+0074	LATIN SMALL LETTER T
tch	3	c	U+0074, U+0063, U+0068	LATIN SMALL LETTER T, LATIN SMALL LETTER C, LATIN SMALL LETTER H
th	1	t	U+0074, U+0068	LATIN SMALL LETTER T, LATIN SMALL LETTER H
ts	2	ts	U+0074, U+0073	LATIN SMALL LETTER T, LATIN SMALL LETTER S
tt	119	t	U+0074, U+0074	LATIN SMALL LETTER T, LATIN SMALL LETTER T
tz	2	ts	U+0074, U+007A	LATIN SMALL LETTER T, LATIN SMALL LETTER Z
u	4647	u	U+0075	LATIN SMALL LETTER U
ů	2	u	U+016F	LATIN SMALL LETTER U WITH RING ABOVE
ü	320	y	U+00FC	LATIN SMALL LETTER U WITH DIAERESIS
ua	15	ua	U+0075, U+0061	LATIN SMALL LETTER U, LATIN SMALL LETTER A
uä	1	ue	U+0075, U+00E4	LATIN SMALL LETTER U, LATIN SMALL LETTER A WITH DIAERESIS
üäh	1	ya	U+00FC, U+00E4, U+0068	LATIN SMALL LETTER U WITH DIAERESIS, LATIN SMALL LETTER A WITH DIAERESIS, LATIN SMALL LETTER H
ue	10	ue	U+0075, U+0065	LATIN SMALL LETTER U, LATIN SMALL LETTER E
üe	2	ue	U+00FC, U+0065	LATIN SMALL LETTER U WITH DIAERESIS, LATIN SMALL LETTER E
