Index	Bogennummer	REDE_Namen	Sprache	WS9Transliteration
bc	13529	Wang-Brückenberg	1	Ich bihn - bei d'r Frau gewahst an - hoa 's - 'r - gesoit an - sie - - soite - - sie - - well - 's - - ihrer Tochter - - - soin - -
bc	13543	Pisarzowice	1	Iech bie - bei darr Frau gewasa un - ho s - ihr - gesoat und - sie - - soate - - sie - - wellt - 's - an ihrer Tochter - - - sore - -
bc	13559	Boguszow-Gorce	1	Ich binn - bei dĕr Frau gewast und - ho s - 'r - gesoat und - sie - - soate - - sie - - welt - 's au - ihrer Tochter - - - soan - -
bc	13655	Niederleutersdorf/Leutersdorf	1	Ich bi - be dar Frou gewast und - ha 's - er - gesoit und - se - - soite - - se - - well - s o - ihrer Tachter - - - soin - -
bc	13678	Rohnau (-)	1	Īhch bih - ba dder Frau gewoahst u - hoah s - er - gesoit un - se - - soite - - se - - wullt - s - - o'hn Mahdel - - - soin - -
bc	13700	Rebiszow	1	Ihch bihn - bei dirr Frau g͡wahn un - hoh 's - irr - gesoht un - si - - sohte - - sie - - well - 's au - dirr Tochter - - - sohn - -
bc	13719	Siedlecin	1	Ich bin - bei derr Fraua gewäst an - hoa s - irr - gesoit ann - - - - - - - se - - wull - s au - ihrer Tachter - - - soin - -
bc	13727	Myslow	1	Ich bien - bei dar Fro gewahst und - ho͡a s - irr - gesoit und - sȋ - - soite - - sȋ - - wullt - s au - ihr'r Tochter - - - soin - -
bc	13745	Jugowa	1	Ich bien - bei der Frau gewast und - hoa 's - ir - gesoat und - sie - - soate - - si - - wellt - s au - ihrer Tochter - - - soan - -
bc	13830	Wlodowice	1	Ich binn - bai dr Frau gewast on - ho s - r - gesät on - se - - säte - - se - - wulld - 's ach - dr Tochter - - - säen - -
bc	13869	Biernacice	1	Jch bi - bei dir Frau gewast u - huo s - ir - gesuot u - sie - - suote - - sie - - wellt - es o - ihrer Tochter - - - suon - -
bc	13887	Rzymiany	1	Ich bin - bei dar Frau gewast - ich hoh s - ihr - gesoht und - sie - - sohte - - sie - - wellte - es och - ihrer Tochter - - - sohn - -
bc	13898	Szadurczyce	1	Ich bi - bei d'r Fraue gewȃst und - hoo 's - 'r - gesoit und - se - - soite - - se - - welld - 's ooch - ihrer Tochter - - - so͡in - -
bc	13929	Stoszowice	1	Ich bien - bei der Frau gewast und - ho s - er - gesoat und - se - - soahte - - se - - wellt - 's o - ihrer Tochter - - - soahn - -
bc	13996	Lutomia Gorna	1	Ich bien - bei der Froh gewast u - ho as - 'er - gesoat u - se - - soate - - se - - wellde - es och - ihrer Tochter - - - soan - -
bc	14023	Roztocznik	1	Jch bihn - bei der Frō gewās't und - ho 's - 'r - gesoat und do - - - soate sie - ich - - war - 's - - menner Tochter - - - soan - -
bc	1403	Dobieszewo	1	Ik bin - bi de Fruge wäst uo - hef t - ä - sägt uo - sei - - sägt - - sei - - wull - t uk - ähra Dochta - - - seggn - -
bc	14034	Lipowa	1	Iich bien - bei d'r Froe gewast und - hoa s - er - gesoat und - si - - soate - - sie - - wellt - 's - - ihrer Toachter - - - soan - -
bc	14074	Michalow	1	Jch bi - bä dr Frau gewaßt und - ho 's - ihr - gesoit und - sie - - soite - - d' - - wurd - 's o - ihrer Tochter - - - soin - -
bc	14092	Karczow	1	Ich bi - bei der Frau gewast und - ho - - ihr - gesoit und - sie - - soite - - sie - - wullte - es och - ihrer Tochter - - - soin - -
bc	14159	Jutrzyna	1	Ich bi - bei der Frau gewast und - hou s - er - geseut und - se - - soute - - sie - - wil - s a - der Tochter - - - seun - -
bc	1417	Rydzewo	1	Ich bin - bei dir Fro giwast und - ho as - ihr - gisoat und - sie - - soate - - sie - - wiel - es och - ihrer Tochter - - - soan - -
bc	14234	Brzoza	1	Ick bü̆ - bi dēĕ Frug wäst ŭ - hĕw t - äĕ - seggt ŭ - sei - - sär - - sei - - wu - tt ōk - ährĕ Dochtĕ - - - seggĕ - -
bc	14250	Jaczkowice	1	Ich bi - bei der Fro gewast und - ho 's - ihr - geseut und - sie - - seute - - sie - - wullte - es och - ihrer Tochter - - - seun - -
bc	14275	Piastowice	1	Ich bie - bei der Frau gewast und - ho s - er - gesot und - sie - - sote - - sie - - wird - 's - - ihrer Tochter - och - son - -
bc	14305	Bozanow	1	Ich bien - bei der Fro gewaast und - ho s - ihr - gesoit und - sie - - soite - - sie - - wullde - es oh - ihrer Tochter - - - soin - -
bc	1432	Rzepowo	1	Jck bün - bi de Frug weist un - hew es - äh - gesägt un - se - - sägt - - se - - will - es ok - eire Dochte - - - sägen - -
bc	14321	Rogow Sobocki	1	Ich bi - bei der Fro gewast und - ho as - er - gesoat und - si - - soate - - sie - - wält - s o - ihrer Tochter - - - soan - -
bc	14382	Wölfelsdorf (Wilkanów)	1	Ech ben - bei der Frau gewast on - ho s - 'er - gesoit on - die - - soit - - sie - - wel - s a - der Tochter - - - soien - -
bc	1442	Lubowo	1	Ick bü - bi dem Frugs nômwōst u - heww t - ä - seggt - - - - - - - - sei - - wu - dat uk - äre Dochte - - - segge - -
bc	14449	Thröm (Trebom)	1	Ich ben - bei derr Fra gewast und - hob - - er - gesert und - se - - sert - - se - - well - ’s a - derr Tochter - - - sern - -
bc	14458	Szczytna	1	Ich bin - bei dam Weiwe gewast on - ho s - er - gesät on - se - - säte - - se - - wullt - s a - ihrer Tochter - - - sähn - -
bc	14471	Jaszkowa Gorna	1	Ich bien - bei da Frau gewast on - ho s - er - gesät on - se - - säte - - se - - wälde - 's a - ihrer Tochter - - - sähn - -
