Index	Bogennummer	Ort	Sprache	ich1	bin	gewesen	bei	der	frau	und1	ich2	habe	es1	zu1	ihr	gesagt1	und2	da	sie1	hat1	gesagt2	dass	sie2	hat2	es2	will	sagen	auch	zu2	ihrer	tochter
ab	1215	Paruszka	1	Ick	büh - - -	wäst -	bi - - - -	dä	Frugä - - - -	uh	-	hebb	datt	- - - -	ä - - -	sägt	uh	-	sei - - - -	-	säd	-	sei - - - - -	-	datt	wutt - - - -	sägä	ok - -	- - - -	- - - - ähne	Dochtä - - - - - -
ab	12153	Meiningen	1	Ich	bin - - -	gewast -	bei - - - -	der	Frah - - - -	unn	-	ha	s	- - - -	rĕ - - -	gesöt	unn	-	si - - - -	-	söt	-	si - - - - -	-	s	wöll - - - -	sö	a - -	- - - -	ihrer - - - -	Tochter - - - - - -
ab	12167	Altendambach	1	Ich	bin - - -	gewast -	bei - - - -	dör	Fra - - - -	o	-	ho	ss	- - - -	örö - - -	gösöht	o	-	sie - - - -	-	sött	-	sie - - - - -	-	s	wäll - - - -	söh	- - -	- - - -	örn - - - -	- Mädla - - - - -
ab	12184	Altenfeld	1	Ich	bin - - -	gewast -	ba - - - -	der	Fruh - - - -	un	-	ho	s	- - - -	ere - - -	gesogt	un	-	sie - - - -	hot	gesogt	-	sie - - - - -	-	s	will - - - -	sog	a - -	- - - -	ihrn - - - -	- Mädle - - - - -
ab	12341	Rohrbach	1	Iech	ben - - -	gewast -	bei - - - -	dar	Fra - - - -	un	-	hua	's	- - - -	r - - -	gesat	un	-	se - - - -	-	sate	-	se - - - - -	-	z	wel - - - -	sah	- - -	- - - -	ährär - - - -	Tochtr - - - - - -
ab	12371	St Jacob bei Leutenberg	1	Īch	binn - - -	gewäsen -	bei - - - -	där	Fra - - - -	un	-	hōb	's	- - - -	'r - - -	gesāht	un	-	se - - - -	-	sāhte	-	se - - - - -	-	's	wollt - - - -	sā	ā - -	- - - -	erer - - - -	Tuchter - - - - - -
ab	12390	Neundorf (bei Schleiz)	1	Öich	böin - - -	geweäsen -	bei - - - -	d'r	Fraä - - - -	un	-	hob	's	- - - -	ihr - - -	g'seht	un	-	s' - - - -	-	sogt'	-	s' - - - - -	-	's	wuollt - - - -	sog'n	- - -	- - - -	ihr'r - - - -	Docht'r - - - - - -
ab	12410	Ebersgrün	1	Ich	bi - - -	gewēisen -	bei - - - -	der	Frēi - - - -	und	-	ho	sch	- - - -	er - - -	gesoggt	u	-	se - - - -	hot	gesoggt	-	se - - - - -	-	s	will - - - -	song	ēi - -	- - - -	ihrn - - - -	- Mēidel - - - - -
ab	12428	Roitzschau/Rotschau	1	ch	bi - - -	g'wahn -	bei - - - -	der	Fraa - - - -	un̄	-	ho	sch	- - - -	err - - -	gsogt	unse	-	- - - - -	hoot	gsogt	-	se - - - - -	-	s	well - - - -	soogn	a - -	- - - -	ihra - - - -	Tocht'r - - - - - -
ab	12496	Horsdorf	1	I'	bḭ' - - -	gwést -	bei - - - -	dè	Fra - - - -	und	-	hou	s	- - - -	éra - - -	g'sogt	und	-	sie - - - -	hout	g'sogt	-	sie - - - - -	-	's	will - - - -	sog'	a - -	- - - -	ihra - - - -	Tochte - - - - - -
