Ort::REDE_GIDs	Ort::Longitude	Ort::Latitude	Bogennummer	Ort::Name	Ort::Sprache	müde	wir	sind	und	uns	haben	einen	Durst
546361	11,18153697	46,72780082	-46234	VERNUER (VERNURIO)	1	müada	Mir	sein	und	-	hobn	-	Durst.
546354	10,93457311	46,68890715	-46227	KATHARINABERG (SANTA CATERINA)	1	müad	Miar	sein	und	-	hobn	-	durst.
546350	10,78187881	46,75742756	-46226	KURZRAS (CORTERASO)	1	müad	Miar	sein	und	-	hobm	-	durscht.
546331	10,52936081	46,7107352	-46217	BURGEIS (BURGUSIO)	1	miad	Miar	sein	und	-	hobn	on	Därst.
546330	12,19183685	46,77103721	-46215	PICHL	1	miade	Mir	san	un	-	haum	-	durscht.
546309	11,665945	46,770262	-46195	SCHABS (SCIAVES)	1	miade	Miar	sein	und	-	obm	-	Durscht.
546299	12,10062179	46,85947024	-46181	ANTHOLZ (ANTERSELVA DI MEZZO)	1	miad	Mir	san	u	-	houbn	an	durscht.
546295	11,70668566	46,8867533	-46175	PFUNDERS (FUNDRES)	1	müödü	Miör	sein	und	ins.	tuit	-	dürstn
546263	11,156652	46,871323	-46162	RABENSTEIN (MOOS)	1	miede	Mier	sein	und	-	hobm	-	durscht.
546289	10,63866245	46,83825902	-46161	HINTERKIRCH (GRAUN)	1	müad	Miar	sein	un	-	houbm	-	durscht.
546253	12,10710013	47,04166281	-46146	PRETTAU (PREDOI)	1	miede	Wio	san	unt	-	hobm	-	Duscht.
547215	20,74010208	48,73016195	-18008	SCHMￃﾖLLNITZ (SMOLNￃﾍK)	1	miet	Bie	seiba	und	-	sein	-	duijschtich.
540730	18,99999994	49,82000004	-17749	ALT-BIELITZ (STARE BIELESKO)	1	schwash	Wjer	sen	an	-	hon	-	Döscht.
389479	19,45265	49,87403	-17746	CHOCZNIA	1	mäid	Mir	ham	und	-	hama	-	dursti.
390916	19,28507	49,87652	-17744	BULOWICE	1	mied	Wir	sein	und	-	han	-	Durst.
387377	19,326	49,98619	-17739	POLANKA WIELKA	1	müd	Wir	sind	u	-	hun	-	Dorscht.
535428	16,37426376	53,74533931	51	BAERWALDE	1	möd	Wi	sünd	u	-	häwä	-	döst.
373017	17,1932	53,7362	74	GWIEZDZIN	1	moid	Wi	sind	u	-	hebbe	-	dööst.
372997	17,51084	53,73196	83	CHARZYKOWY	1	moid	Wi	sind	u	-	häbbn	-	döst.
376415	19,16906	53,67605	99	TRUMIEJKI	1	möd	Wi	sönd	onn	-	hebbe	-	derscht.
373879	18,9051	53,70548	110	ROZPEDZINY	1	möd	Wie	send	on	-	häbe	-	dörscht.
160646	15,51756	53,76575	133	SOSNOWO	1	meur	Wi	sünd	o	-	hewwn	-	döst.
373286	15,86239	53,77752	145	SMARDZKO	1	meur	Wie	sünn	u	-	hewwe	-	Döst.
370788	16,09538	53,76262	158	POLCZYN-ZDROJ	1	mäud	Wi	sünn	u	-	hewwe	-	döst.
161335	16,69276	53,74786	180	GALOWO	1	moid	Wie	sünd	u	-	hewwe	-	dößt.
158846	16,96984	53,75059	185	JELNIA	1	möd	Wi	sin	u	-	häwwa	-	dost.
160131	19,21069	53,82183	211	RODOWO	1	mud	Wir	sind	und	-	hoabn	-	dorscht.
152192	17,24179	53,90401	282	ZOLNA	1	moid	Wie	sind	u	-	hebbe	-	dest.
373273	17,75803	53,87662	285	KOSOBUDY	1	Meid	Wir	seit	und	-	hevn	-	Derst.
541516	18,09997562	53,88253175	289	KￃﾖNIGSWIESE (LEￅﾚNA HUTA)	1	med	Wi	sint	u	-	habe	-	Durscht.
532570	18,40028	53,85127	291	LUBICHOWO	1	Möid	Wie	sind	un	-	häbbä	-	derst.
534658	18,94320745	53,86393989	300	MONTAUERWEIDE	1	möd	Wi	send	und	-	hebbe	-	dörscht.
532196	15,54345	53,93552	312	RYMAN	1	meur	Wie	sün	un	-	hiwwa	-	döst.
370644	15,82486	53,93499	324	PODWILCZE	1	meur	Wi	sünd	o	-	hewwe	-	döst.
148262	16,14955	53,95055	344	MODROLAS	1	möur	Wi	sinn	un	-	hewwn	-	döst.
162750	16,41182	53,94692	351	SMECINO	1	meud	Wie	sind	unn	-	hewwe	-	döst.
534872	16,6593432	53,9295732	356	PORST	1	meud	Wai	sind	u	-	häwwa	-	däst.
162673	16,97152	53,91653	366	PRZERADZ	1	meud	Wei	sind	un	-	hewe	-	döst.
147980	16,65187	54,07285	458	WIETRZNO	1	mäur	Wai	sinn	un	-	hewwe	-	däßt.
372705	16,95143	54,06604	465	OKUNINO	1	meir	Wi	sind	u	-	hewwä	-	dersti.
532087	17,25621	54,06601	474	KRAMARZYNY	1	meid	Wie	sind	u	-	hewwe	-	däst.
148470	17,54883	54,03056	478	PRADZONKA	1	mäud	Wie	sind	u	-	häbe	-	döst.
161323	18,09229	54,0637	486	NIEDAMOWO	1	meid	Wie	sinn	unn	-	hewwe	-	dörst.
374684	18,35818	54,02938	495	JAROSZEWY	1	meid	Wie	sind	und	-	hebe	-	derscht.
375290	18,60845	54,00516	503	SZPEGAWSK	1	meed	Wi	send	un	-	hebbe	-	derscht.
149312	18,96931	54,01376	511	KRASNIEWO	1	möd	Wie	send	on	-	hewe	-	derschd.
371648	19,25267	54,01388	532	ZULAWKA SZTUMSKA	1	mud	Wör	send	un	-	-	-	dorrstig.
150858	15,52373	54,11856	549	PRZECMINO	1	meur	Wie	sün	u	-	häwe	-	Dößt.
151041	15,83913	54,10419	573	LYKOWO	1	meur	Wi	sünd	o	-	hewwn	-	döst.
152858	16,10326	54,10839	584	DUNOWO	1	möd	Wi	sinn	oa	-	häwa	-	döest.
147182	18,95682	54,15681	688	PREGOWO ZULAWSKIE	1	möd	Wie	send	on	-	hewe	-	derscht.
376087	16,36258	53,40347	743	RUDKI	1	möd	Wie	sinn	u	-	hebba	-	Döst.
371847	16,64428	53,39298	748	BUDY	1	müid	Wi	sinn	u	-	hebbe	-	döst.
532171	17,14489	53,41264	760	ZAKRZEWO	1	moid	Wi	sündsen	u	-	hebbn	-	döst.
372128	17,46743	53,37996	769	NOWY DWOR	1	meud	Wia	sünd	uh	-	heb	-	dösta.
149964	18,59262	53,37403	803	LUNAWY MALE	1	möd	Wi	sünt	o	-	hebbä	-	döst.
146983	19,15258	53,34825	821	BUKOWIEC	1	mäd'o	Wi	send	-	-	hebbe	-	derscht.
372040	17,21995	53,57517	880	STRZECZONA	1	müd	Wi	sünd	o	-	hebbn	-	döst.
147621	17,74635	53,55745	895	JELENCZ	1	moid	Wi	sind	u	-	häbn	-	doagt.
170389	18,07074	53,54121	899	IWIEC	1	meud	Wir	sünt	uh	-	hebn	-	döjsta.
152379	18,58805	53,53014	906	BUSNIA	1	möd	Wie	send	on	-	hebbe	-	derscht.
158660	18,83909	53,52267	920	LISIE KATY	1	möd	Wie	senn	un	-	hewwe	-	derscht.
161906	19,18069	53,50608	930	GOCZALKI	1	mid	Wir	sint	on	-	hoben	-	dorscht.
534903	17,42103998	53,05104088	983	GROMADEN	1	möd	Wie	sün	u	-	häwä	-	döst.
541553	17,72070827	53,06923401	984	FRIEDBERG	1	moid	Wi	sunn	ou	-	habbä	-	döst.
541554	17,99966399	53,03340784	990	WALOWNICA	1	möd	Wi	se	o	-	hebbe	-	döst.
159543	18,26158	53,05159	994	KABAT	1	möd	Wie	send	o	-	häbe	-	döst.
150069	15,49524	53,11481	1009	NOWY KLUKOM	1	möög	Wie	sin	o	-	-	-	döstig
531796	15,78185	53,08719	1018	LASKO K CHOSZCZNA	1	möd	Wie	sind	un	-	hebbe	-	dörst.
159464	16,08349	53,12516	1023	GOLIN	1	mööd	Wie	sünd	u	-	hewwe	-	dost.
531178	16,39581	53,11234	1029	NIEKURSKO	1	möd	Wi	sinn	on	-	hebbon	-	dost.
