Longitude	Latitude	REDE_GIDs	Name	Bogennummer	REDE_Namen	Sprache
13.07091971	50.29350573	543403	PETERSDORF (PETROV)	16322	Petersdorf (Petrov)	1
13.33150857	50.28046432	543417	PODLETITZ (PODLESICE)	16338	Podletitz (Podlesice)	1
12.31495822	50.12170839	545775	KROPITZ (KRAPICE)	16442	Kropitz (Krapice)	1
12.5660173	50.11207273	545875	EBERSFELD (PODLESI)	16470	Ebersfeld (Podlesi)	1
12.81723239	50.11499453	545897	RABENSGRￃﾜN (HAJE)	16491	Rabensgrün (Haje)	1
13.06282229	50.10501819	545929	LINTSCH (HLINEￄﾌ)	16523	Lintsch (Hlineč)	1
20.82988029	54.91975148	541763	POSTNICKEN (ZALIVNOE)	1654	Postnicken (Zalivnoe)	1
13.28661929	50.01766262	547005	KLOTANTSCHEN (KOTANEￄﾌ)	16602	Klotantschen (Kotaneč)	1
13.35918004	50.44766083	547083	TSCHERNOWITZ (ￄﾌERNOVICE)	16610	Tschernowitz (Černovice)	1
13.59572928	50.44732335	547097	HAWRAN (HAVRAￅﾇ)	16625	Hawran (Havraň)	1
13.83616126	50.45194726	547107	LIEBSHAUSEN (LIBￄﾌEVES)	16636	Liebshausen (Libčeves)	1
21.06375338	54.89622754	540911	LABAGIENEN/HAFFWINKEL (ZALIVINO)	1664	Labagienen/Haffwinkel (Zalivino)	1
13.74314777	50.35326555	544619	PRIESEN (BￅﾘEZNO)	16670	Priesen (Březno)	1
13.62176599	50.29310664	544637	LIBESCHITZ (LIBￄﾚￅﾠICE)	16689	Libeschitz (Liběšice)	1
13.35397155	50.12209626	544671	LESCHKAU (LEￅﾽKY)	16725	Leschkau (Ležky)	1
13.59466133	50.10758345	544773	PSCHOBLIK (PￅﾠOVLKY)	16739	Pschoblik (Pšovlky)	1
14.38722099	50.064376	544698	PRAG-SMICHOW (SMￃﾍCHOV)	16751	Prag-Smichow (Smíchov)	1
16.994619	50.411871	544699	WEIￃﾟBACH (BￃﾍLￃﾝ POTOK)	16755	Weißbach (Bílý Potok)	1
16.31555194	50.30491688	544714	SCHEDIWY (ￅﾠEDIVINY)	16770	Schediwy (Šediviny)	1
16.48013663	50.26863043	540583	FRIEDRICHSWALD (ORLICKￃﾉ ZￃﾁHOￅﾘￃﾍ)	16775	Friedrichswald (Orlické Záhoří)	1
17.24183624	50.25517092	534177	BￃﾖHMISCHDORF	16801	Böhmischdorf	1
16.46560671	50.16530112	544744	ROKITNITZ (ROKYTNICE)	16814	Rokitnitz (Rokytnice)	1
21.65075358	54.87658737	541395	KREUZINGEN (BOL'SHAKOVO)	1683	Kreuzingen (Bol'Shakovo)	1
16.71044888	50.0763027	544815	NIEDER-ULLERSDORF (DOLNￃﾍ BOￅﾘￃﾍKOVICE	16876	Nieder-Ullersdorf (Dolní Boříkovice	1
16.94591816	50.07261368	544825	HEINZENDORF (HYNￄﾌICE NAD MORAVOU)	16889	Heinzendorf (Hynčice Nad Moravou)	1
