Index	Bogennummer	REDE_Namen	Sprache	WS28::Transliteration WS 28
bc	15349	Ellern (Hunsrück)	1	D'r därfd so kä Kinnereie (Änfälligkäde oder Bozereue) dreuwe.
bc	1536	Heidlauken (Bugorki)	1	Ju dörrwe nich sollke Kinderiee driewe.
bc	15365	Bingen am Rhein	1	Ihr derft nitt so Kinnereie treiwe.
bc	15394	Finthen	1	Ehr derft nit solche Kindereien treiben.
bc	1540	Heinrichswalde	1	Ju dörwe nich solke Kinderie driewe.
bc	15418	Schneeberg (Sněžník)	1	Seid ok nie so kindsch!
bc	15503	Zettel (Sedlo)	1	Ihr derft nich se(l)che Kinnereien treib(e)n.
bc	1552	Pazuizen	1	Ju sulle nich son Sluschtmark dohne!
bc	15538	Wisterschan (Bystřany)	1	Jhr darft kene solche Kindereien treim.
bc	15550	Malschen (Malečov)	1	Ihr darft ni siche Kindarei'n traibn.
bc	15638	Lukawetz (Lukavec)	1	Ihr derft nich siche Kindereien treibn.
bc	1565	Gierver Lauken	1	Ju motte nich sunne Kinderi driwe.
bc	15681	Neudorf (Vrchběla)	1	Ihr drft nee sicha Kindrein treibm!
bc	15685	Gastorf (Hoštka)	1	Ihr darft ni siche Kindereien treiben
bc	15690	Wegstädtl (Štětí)	1	Ihr darft ni siche Kinderein treibn.
bc	1571	Schmalleningken	1	Ju dörwe nich sone Kinderie driwe.
bc	15725	Nixdorf (Mikulášovice)	1	Ihr dorft nee su kindsch sein. (Kindschrrein treiben)
bc	1573	Groß Dirschkeim (Donskoye)	1	Ju derwe nich solke Kinderi driwe.
bc	15751	Rückersdorf (Dolní Řasnice)	1	Er dorft ne söte kinderein treibm. oder Er dorft ne su kinschn.
bc	1578	Rantau (Zaostrov'Ye)	1	Iu darrwe nich sollke Kindariè driwe.
bc	158	Polczyn-Zdroj	1	Jie dörwe (döre) nich so'n Kinnerije driewe.
bc	1580	Schulstein (Vol'Noe)	1	Ju derwe nich sollke Kinderie driewe.
bc	15807	Kamnitz-Neudörfl (Kamenická Nová Ví	1	Ihr mißt a nej su kindsch sein.
bc	15824	Zwickau (Cvikov)	1	Jhr d(ei)rft neï s(ei)che Kinderei treibn.
bc	15847	Christophsgrund (Kryštofova Údolí)	1	Ihr dörft ne söche Kindereien treiben.
bc	15858	Gränzendorf (Hraničá)	1	Ihr dörft ne sätte Kinderein treibn.
bc	1588	Alt Susimilken (Tarassowka)	1	Ju dörwe nich solke Kinderie driewe.
bc	15971	Puletschnei (Pulečný)	1	Ihr dörft ne sötte Kinderein (lieber "Tummhejtn") treibn.
bc	15975	Graber (Kravaře)	1	Ihr darft nie sicha Kindrain traibn.
bc	15989	Thammühl (Staré Splavy)	1	Ihr dürft ni sicha Luderein treibn.
cd	15995	Proschwitz (Česká Proseč)	1	Jehr dorft ne sichte Kinderrein treiben.
cd	16007	Harrachsdorf (Harrachov)	1	Ihr därft nä set Gekendsche treiben.
cd	16015	Witkowitz (Vítkovice)	1	Er de̬rft ne settes kendsches Zeug treibn.
cd	16050	Forst (Fort)	1	Ihr därft nee setta Kenderein treim!
cd	16063	Gabersdorf (Libeč)	1	Ihr derft ne sete Kendereia treiwa.
cd	16083	Bodisch (Bohdašin)	1	Ihr derft ne solche Kendoreia treiwa.
cd	16139	Zwitschin (Zvičina)	1	Ihr derft nee sette Kenderreia treiwa!
cd	16154	Großbock (Velká Bukovina)	1	Jhr därft ne sette Kendeoreien treiwa.
cd	16179	Schmiedeberg (Kovářská)	1	Jhr därft kea sets kinnisch Zeich mochn.
cd	1626	Tulpeningken (Zarečnoe)	1	Ju dörfe nich sone Kinderie driewe.
cd	16276	Waitzengrün (Loučná)	1	Ihr därfst niat sechz kindrisch Zeich treibm.
cd	1628	Wisborienen (Livny)	1	Ju derwe nich solke Kinderien driewe.
cd	16298	Sittmesgrün (Mezirolí)	1	Diats dirfts koina secha Kinnareian trei'm.
cd	16322	Petersdorf (Petrov)	1	Tirz därfts koener secher Kindereien treibn.
cd	16338	Podletitz (Podlesice)	1	Ihr derft net setta Kinnarein treim!
cd	16442	Kropitz (Krapice)	1	Diaz dörft's niat set's kinnisch Zeig'h treim.
cd	16470	Ebersfeld (Podlesi)	1	Ihr dörfst nirt sur kindisch sa.
cd	16491	Rabensgrün (Haje)	1	Ihr därft neat secha Kinnerei treibn.
cd	16523	Lintsch (Hlineč)	1	Ihr derfts kana Kinarein treim.
cd	1654	Postnicken (Zalivnoe)	1	Ju derwe nich solke Kindariee driewe.
cd	16602	Klotantschen (Kotaneč)	1	Ihr derfts net setta Kinnereijän treim
cd	16610	Tschernowitz (Černovice)	1	Ihr darft nett sette Kinderreien treim.
cd	16625	Hawran (Havraň)	1	Jhr darft kane sichn Kinerein mochn.
cd	16636	Liebshausen (Libčeves)	1	Jhr darft nich sulche Kinderei'n treibm.
