Index	Bogennummer	REDE_Namen	Sprache	WS10::Transliteration WS10
qr	48532	Brodhagen	1	Jk will dat ok nich mehr werre dauhn.
qr	48550	Toitenwinkel	1	Jck will dett ok nich mia werrä dauhn.
qr	486	Niedamowo	1	Ick will't ok nich wedder daune.
qr	48675	Strukdorf	1	Jck will dat ock nie mehr weller daun.
qr	48702	Sereetz	1	Jck willt ok nich enmal werrer don.
qr	48716	Gross Voigtshagen	1	Ick wüll dat ok nich miehr wedder dauhn.
qr	48726	Beckerwitz	1	Ick will datt ok nich werrer dau'n.
qr	48738	Steinhausen	1	Ik willt ok nich mihr werrer dauhn!
qr	48752	Berendshagen	1	Ick will datt ok nich wië werre daun.
qr	48765	Wiendorf	1	Jck will dat ok nich werre dauhn.
qr	48790	Rethwisch	1	Jk well dat ok ni weller dohn.
qr	48800	Lentföhrden	1	Ick well dat ock ni mehr weller dohn.
qr	48812	Todesfelde	1	Jck willt ok nu nich weller daun.
qr	49022	Kleinboden	1	Jck will dat ok nich mer werre daun.
qr	49043	Campow	1	Ik willes ok nicht mehr werre daun.
qr	49076	Nesow	1	Jk will dat ok nich werre daun.
qr	49090	Dalliendorf	1	Ick willt ook nicht mihe werre daun.
qr	49108	Neuhof	1	Jk will dat uk nich mihe werre daun.
qr	49122	Warnow	1	Jck will dat ock nich eins werrĕ dauhn.
qr	49140	Güstrow	1	Ick will dat ok nich wedder dohn.
qr	49146	Drochtersen	1	Jck willt ook neech mehr wedder dohn!
qr	49162	Gross Nordende	1	Jck will't ok nicht wedder dohn.
qr	49176	Quickborn	1	Jk well dat ok ni weller dohn.
qr	49188	Jersbek	1	Jk will datt ok nich welle (e kurz) dunn.
qr	49311	Riekenbostel	1	Jk will dat uk nich weller dōn!
qr	49322	Brochdorf	1	Jk willt ok nich weller duhn.
qr	49332	Bispingen	1	Jck will't oak goar nich wed'er dauhn.
qr	49338	Wettenbostel	1	Ik will et ock nich mehr wedder daun
qr	49348	Seedorf	1	Jk will't ok nich mehr werrer dôn.
qr	49362	Stoetze	1	Jck will dat ok nich warre don.
qr	49498	Dannenberg (Elbe)	1	Jck will et ok nich mehr wedder dohn.
qr	495	Jaroszewy	1	Ek will dat ouk nech mehe wede daune.
qr	4950	Palck	1	Ich wills o nich ni wiedert thun.
qr	49509	Breetz	1	Ick will't ock nich mehr werrer dohn!
qr	49524	Laaslich	1	Ick willt ok nich mehr werrer dohn.
qr	49534	Lübzow	1	Ick willt ok nich werrer dohn.
qr	49551	Buchholz	1	Ick willt ok nich mehr wärrer dohn!
qr	49562	Hetzwege	1	Jk will't ock nich woller dohn!
qr	49569	Otter	1	Jck will datt ok nich mir weller daaun.
